gene_id	gene_name	tissue	median_expression	tissue_type	gene_chr	gene_annotation	gene_start	gene_end	gene_strand	gene_type	gene_status
ENSG00000230092.3	RP11-206L10.8	Stomach	0.78945	Stomach	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Liver	0.3563	Liver	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Muscle	0.5785	Muscle	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Lymphocytes	1.6975	Blood	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Testis	1.889	Testis	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Lung	0.9996	Lung	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000230092.3	RP11-206L10.8	Brain	0.3884	Brain	1	HAVANA	736259	745488	-	pseudogene	KNOWN
ENSG00000269308.1	AL645608.2	Liver	0	Liver	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Stomach	0	Stomach	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Lymphocytes	0	Blood	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Adipose	0	Adipose.Tissue	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Muscle	0	Muscle	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Brain	0	Brain	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Lung	0	Lung	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000269308.1	AL645608.2	Testis	0	Testis	1	ENSEMBL	818043	819983	+	protein_coding	NOVEL
ENSG00000223764.2	RP11-54O7.3	Liver	1.587	Liver	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Muscle	0.1519	Muscle	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Brain	0.667	Brain	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Stomach	2.4755	Stomach	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Testis	4.464	Testis	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Adipose	0.6351	Adipose.Tissue	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Lymphocytes	0.356	Blood	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000223764.2	RP11-54O7.3	Lung	2.763	Lung	1	HAVANA	852250	855072	-	lincRNA	NOVEL
ENSG00000187608.5	ISG15	Adipose	43.565	Adipose.Tissue	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Lymphocytes	766.45	Blood	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Testis	14.59	Testis	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Stomach	20.57	Stomach	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Muscle	7.925	Muscle	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Liver	35.84	Liver	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Lung	79.46	Lung	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000187608.5	ISG15	Brain	33.505	Brain	1	HAVANA	948803	949920	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Lymphocytes	63.245	Blood	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Stomach	21.205	Stomach	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Adipose	18.39	Adipose.Tissue	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Muscle	2.426	Muscle	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Liver	14.07	Liver	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Testis	32.1	Testis	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Brain	45.995	Brain	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000188157.9	AGRN	Lung	52.39	Lung	1	HAVANA	955503	991277	+	protein_coding	KNOWN
ENSG00000207607.1	MIR200A	Testis	0.3971	Testis	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Brain	0	Brain	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Stomach	0.5998	Stomach	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Liver	0	Liver	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Lung	0	Lung	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Muscle	0	Muscle	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Lymphocytes	0	Blood	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000207607.1	MIR200A	Adipose	0	Adipose.Tissue	1	ENSEMBL	1103243	1103332	+	miRNA	KNOWN
ENSG00000078808.12	SDF4	Brain	70.855	Brain	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Liver	107.3	Liver	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Adipose	143.05	Adipose.Tissue	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Muscle	55.395	Muscle	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Lymphocytes	97.15	Blood	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Testis	165.8	Testis	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Stomach	119.3	Stomach	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000078808.12	SDF4	Lung	161.9	Lung	1	HAVANA	1152288	1167411	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Muscle	15.255	Muscle	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Liver	7.449	Liver	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Stomach	34.075	Stomach	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Lung	121.6	Lung	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Testis	55.59	Testis	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Adipose	238.4	Adipose.Tissue	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Brain	17.2	Brain	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000162576.12	MXRA8	Lymphocytes	1.951	Blood	1	HAVANA	1288071	1297157	-	protein_coding	KNOWN
ENSG00000223663.2	RP5-890O3.3	Muscle	0.1678	Muscle	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Stomach	0.31755	Stomach	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Brain	0.31755	Brain	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Adipose	0.2202	Adipose.Tissue	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Liver	0.3493	Liver	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Lymphocytes	0.5106	Blood	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Testis	0.8789	Testis	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000223663.2	RP5-890O3.3	Lung	0.2706	Lung	1	HAVANA	1314046	1314412	+	pseudogene	KNOWN
ENSG00000235098.4	ANKRD65	Testis	11.46	Testis	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Brain	19.73	Brain	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Adipose	7.431	Adipose.Tissue	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Lymphocytes	0.4535	Blood	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Stomach	8.284	Stomach	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Liver	0.6254	Liver	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Muscle	1.088	Muscle	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000235098.4	ANKRD65	Lung	14.65	Lung	1	HAVANA	1353800	1357149	-	protein_coding	KNOWN
ENSG00000225905.1	RP4-758J18.7	Testis	2.693	Testis	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Brain	2.215	Brain	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Lymphocytes	0	Blood	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Muscle	0.1601	Muscle	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Stomach	1.415	Stomach	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Liver	0.1394	Liver	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Lung	1.141	Lung	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000225905.1	RP4-758J18.7	Adipose	1.0565	Adipose.Tissue	1	HAVANA	1357849	1358071	+	antisense	NOVEL
ENSG00000179403.10	VWA1	Adipose	25.36	Adipose.Tissue	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Muscle	2.398	Muscle	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Testis	20.53	Testis	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Lymphocytes	1.9915	Blood	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Liver	34.69	Liver	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Lung	22.3	Lung	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Stomach	21.2	Stomach	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000179403.10	VWA1	Brain	14.245	Brain	1	HAVANA	1370241	1378262	+	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Stomach	3.435	Stomach	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Muscle	0.2568	Muscle	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Brain	32.225	Brain	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Adipose	1.1065	Adipose.Tissue	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Liver	0.4149	Liver	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Testis	19.55	Testis	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Lymphocytes	2.242	Blood	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000228594.1	C1orf233	Lung	4.806	Lung	1	HAVANA	1533392	1535476	-	protein_coding	KNOWN
ENSG00000269737.1	RP11-345P4.7	Liver	0.8621	Liver	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Brain	0.89195	Brain	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Stomach	2.1825	Stomach	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Muscle	0.6477	Muscle	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Testis	1.757	Testis	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Adipose	3.381	Adipose.Tissue	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Lung	3.823	Lung	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000269737.1	RP11-345P4.7	Lymphocytes	4.5455	Blood	1	HAVANA	1603429	1604850	+	antisense	NOVEL
ENSG00000078369.13	GNB1	Stomach	111.8	Stomach	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Muscle	33.335	Muscle	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Testis	139.4	Testis	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Lymphocytes	279.7	Blood	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Lung	250.8	Lung	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Liver	54.06	Liver	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Brain	345.35	Brain	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000078369.13	GNB1	Adipose	230	Adipose.Tissue	1	HAVANA	1716729	1822495	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Stomach	4.8905	Stomach	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Muscle	81.84	Muscle	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Lung	1.756	Lung	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Lymphocytes	0.26035	Blood	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Brain	1.907	Brain	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Testis	41.21	Testis	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Adipose	1.528	Adipose.Tissue	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000178821.8	TMEM52	Liver	5.008	Liver	1	HAVANA	1849029	1850712	-	protein_coding	KNOWN
ENSG00000157933.9	SKI	Liver	16.28	Liver	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Muscle	17.29	Muscle	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Testis	34.11	Testis	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Brain	32.95	Brain	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Lung	73.5	Lung	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Stomach	23.99	Stomach	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Lymphocytes	11.695	Blood	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157933.9	SKI	Adipose	73.625	Adipose.Tissue	1	HAVANA	2160134	2241558	+	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Adipose	15	Adipose.Tissue	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Lung	19.53	Lung	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Muscle	18.115	Muscle	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Liver	7.348	Liver	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Lymphocytes	19.825	Blood	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Brain	15.12	Brain	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Stomach	11.795	Stomach	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000157881.9	PANK4	Testis	18.05	Testis	1	HAVANA	2439972	2458039	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Muscle	6.903	Muscle	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Lymphocytes	12.265	Blood	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Stomach	7.8785	Stomach	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Liver	5.867	Liver	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Testis	19.88	Testis	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Lung	11.57	Lung	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Adipose	11.2	Adipose.Tissue	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000116198.8	CEP104	Brain	6.596	Brain	1	HAVANA	3728645	3773778	-	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Stomach	0.24475	Stomach	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Muscle	0.06876	Muscle	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Brain	8.393	Brain	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Adipose	0.50755	Adipose.Tissue	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Testis	1.192	Testis	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Liver	0.07731	Liver	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Lymphocytes	0.007922	Blood	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000196581.6	AJAP1	Lung	0.8462	Lung	1	HAVANA	4714792	4852594	+	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Muscle	114.15	Muscle	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Stomach	136.05	Stomach	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Lung	167.2	Lung	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Liver	53.34	Liver	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Adipose	226.2	Adipose.Tissue	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Lymphocytes	367.9	Blood	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Testis	64.38	Testis	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000116251.5	RPL22	Brain	70.645	Brain	1	HAVANA	6241329	6269449	-	protein_coding	KNOWN
ENSG00000226944.1	RP1-120G22.11	Stomach	1.5855	Stomach	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Muscle	0.13095	Muscle	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Lung	0.6837	Lung	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Testis	0.7996	Testis	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Brain	2.283	Brain	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Liver	1.017	Liver	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Adipose	0.92565	Adipose.Tissue	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000226944.1	RP1-120G22.11	Lymphocytes	0.94195	Blood	1	HAVANA	6264900	6265840	-	antisense	NOVEL
ENSG00000116237.11	ICMT	Stomach	20.965	Stomach	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Muscle	39.4	Muscle	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Liver	10.84	Liver	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Adipose	39.61	Adipose.Tissue	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Lymphocytes	26.96	Blood	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Lung	33.14	Lung	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Testis	15.72	Testis	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000116237.11	ICMT	Brain	18.975	Brain	1	HAVANA	6281360	6296032	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Muscle	0.010205	Muscle	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Stomach	0.030245	Stomach	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Lymphocytes	0.7211	Blood	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Adipose	0.06854	Adipose.Tissue	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Liver	0.02208	Liver	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Lung	0.8703	Lung	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Brain	0.01147	Brain	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000069812.7	HES2	Testis	2.694	Testis	1	HAVANA	6472478	6484730	-	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Liver	32.87	Liver	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Stomach	0.7082	Stomach	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Muscle	0.035075	Muscle	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Lymphocytes	0.17515	Blood	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Brain	0.40585	Brain	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Lung	0.8456	Lung	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Testis	131.4	Testis	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000187017.10	ESPN	Adipose	0.15415	Adipose.Tissue	1	HAVANA	6484848	6521040	+	protein_coding	KNOWN
ENSG00000237365.1	RP11-334N17.1	Lung	0	Lung	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Testis	0	Testis	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Brain	0	Brain	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Adipose	0	Adipose.Tissue	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Stomach	0	Stomach	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Muscle	0	Muscle	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Liver	0	Liver	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000237365.1	RP11-334N17.1	Lymphocytes	0	Blood	1	HAVANA	7068436	7074339	-	antisense	NOVEL
ENSG00000049249.4	TNFRSF9	Muscle	0	Muscle	1	HAVANA	7979907	8000926	-	protein_coding	KNOWN
ENSG00000049249.4	TNFRSF9	Stomach	0.07837	Stomach	1	HAVANA	7979907	8000926	-	protein_coding	KNOWN
ENSG00000049249.4	TNFRSF9	Adipose	0.04927	Adipose.Tissue	1	HAVANA	7979907	8000926	-	protein_coding	KNOWN
